system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,EVI,NDVI,NDWI,SAVI,date,farm_id,.geo
20180202T054029_20180202T054843_T43QBD_1,2414.3441530626815,2044.9998096235308,1510.8611203655225,1662.6864975489034,1752.3724239683977,1976.1911379753453,2445.798724477655,2660.1577744990727,2650.466517538432,2740.937746894484,1.218889374023897,0.2017179102757289,0.04472666316173628,0.3025427930237989,2018-02-02,Farm2,"{""type"":""Polygon"",""coordinates"":[[[72.750958,21.237044],[72.75104,21.236495999999995],[72.75231200000002,21.236687],[72.752218,21.237244],[72.750958,21.237044]]]}"
20180202T054029_20180202T054843_T43QBD_2,2761.735216819974,2288.4533508541394,1555.7417871222078,1748.3955321944813,1832.1925098554534,2141.9500657030226,2818.1951379763477,3074.5716162943504,3079.0078843626816,3193.592641261498,1.2987826875810589,0.25371062909835873,0.05419328957421383,0.3805272055048581,2018-02-02,Farm3,"{""type"":""Polygon"",""coordinates"":[[[72.73234100000002,21.227198],[72.732392,21.226953],[72.732652,21.22712],[72.732508,21.227258],[72.73234100000002,21.227198]]]}"
20180202T054029_20180202T054843_T43QBD_3,2508.158213256485,2209.4077809798264,1550.0126801152735,1675.630547550432,1845.3386167146975,2051.037463976945,2288.099423631124,2433.687608069164,2385.5227665706047,2547.920749279539,0.7302092974218816,0.1260750331390812,-0.026169522168895197,0.18909041344699956,2018-02-02,Farm4,"{""type"":""Polygon"",""coordinates"":[[[72.731663,21.227759999999996],[72.731744,21.227447],[72.732082,21.227509],[72.731988,21.227866],[72.731663,21.227759999999996]]]}"
20180222T053829_20180222T054424_T42QZJ_0,2481.01560311096,2049.7211728901975,1488.7442635621464,1702.197671610067,1775.4941790251673,2140.246219989373,2675.3901260808652,2939.5216656200178,3026.7035408917427,3091.617699628036,1.273295384737548,0.26051806868288035,0.09918332422102284,0.39073642001239817,2018-02-22,Farm1,"{""type"":""Polygon"",""coordinates"":[[[72.750877,21.237588999999996],[72.750958,21.237044],[72.752218,21.237244],[72.752108,21.237798999999995],[72.750877,21.237588999999996]]]}"
20180222T053829_20180222T054424_T42QZJ_1,2580.5175263607866,2222.9099933504317,1580.6843355181913,1768.6707988980706,1960.7156834805742,2172.596798708084,2442.4925429847053,2613.4794338368,2622.0224185427937,2729.621544599601,0.6629372015055598,0.14335264345361073,0.007255035996440812,0.21500563698066266,2018-02-22,Farm2,"{""type"":""Polygon"",""coordinates"":[[[72.750958,21.237044],[72.75104,21.236495999999995],[72.75231200000002,21.236687],[72.752218,21.237244],[72.750958,21.237044]]]}"
20180222T053829_20180222T054424_T42QZJ_2,2695.0576671035383,2142.086500655308,1557.59501965924,1773.954783748362,1798.8361730013105,2190.2346002621234,3011.4095674967234,3333.2490170380083,3471.318479685452,3461.773263433814,1.629600655563048,0.31648632989336684,0.12553294153599376,0.4746845347991464,2018-02-22,Farm3,"{""type"":""Polygon"",""coordinates"":[[[72.73234100000002,21.227198],[72.732392,21.226953],[72.732652,21.22712],[72.732508,21.227258],[72.73234100000002,21.227198]]]}"
20180222T053829_20180222T054424_T42QZJ_3,2510.3286330935252,2234.2788489208633,1612.1686330935256,1766.8258992805754,1951.2612949640286,2131.6650359712235,2281.4569784172663,2412.7364028776974,2387.1602877697837,2490.610647482015,0.538836613742538,0.0995116526819276,-0.025921823108255762,0.14925041294332153,2018-02-22,Farm4,"{""type"":""Polygon"",""coordinates"":[[[72.731663,21.227759999999996],[72.731744,21.227447],[72.732082,21.227509],[72.731988,21.227866],[72.731663,21.227759999999996]]]}"
20180222T053829_20180222T054424_T43QBD_0,2484.925296538368,2052.057855240861,1474.4857903655288,1691.244589687727,1764.5465504720403,2141.6648753328495,2682.201210360688,2948.184943113047,3031.7320745582183,3101.4568869523114,1.2671399680984483,0.26417696192023526,0.09919592470250274,0.39622413548825275,2018-02-22,Farm1,"{""type"":""Polygon"",""coordinates"":[[[72.750877,21.237588999999996],[72.750958,21.237044],[72.752218,21.237244],[72.752108,21.237798999999995],[72.750877,21.237588999999996]]]}"
20180222T053829_20180222T054424_T43QBD_1,2579.050021417352,2220.52838989101,1567.8924372947506,1758.6159154728475,1952.3026509923372,2169.0325543762788,2441.06382371139,2611.028604064538,2617.810956165818,2729.60901432583,0.6555473840540175,0.1446136802965139,0.00672810402341321,0.216896926264581,2018-02-22,Farm2,"{""type"":""Polygon"",""coordinates"":[[[72.750958,21.237044],[72.75104,21.236495999999995],[72.75231200000002,21.236687],[72.752218,21.237244],[72.750958,21.237044]]]}"
20180222T053829_20180222T054424_T43QBD_2,2696.881077529567,2146.6465177398163,1548.9296977660977,1768.9001314060447,1793.6268068331144,2176.49802890933,3005.0269382391593,3328.3528252299607,3487.132720105125,3476.874507227333,1.6158962122051317,0.3197811431375551,0.12714015654488242,0.47962638279864994,2018-02-22,Farm3,"{""type"":""Polygon"",""coordinates"":[[[72.73234100000002,21.227198],[72.732392,21.226953],[72.732652,21.22712],[72.732508,21.227258],[72.73234100000002,21.227198]]]}"
20180222T053829_20180222T054424_T43QBD_3,2519.1132564841496,2231.5616714697408,1601.386167146974,1756.5273775216137,1944.4999999999998,2140.6553314121043,2306.313832853026,2444.1340057636885,2381.6812680115277,2526.88674351585,0.5322832846698319,0.10012035098472485,-0.028724347904182386,0.15016330342228865,2018-02-22,Farm4,"{""type"":""Polygon"",""coordinates"":[[[72.731663,21.227759999999996],[72.731744,21.227447],[72.732082,21.227509],[72.731988,21.227866],[72.731663,21.227759999999996]]]}"
20180227T053801_20180227T055222_T42QZJ_0,2593.6529153180995,2114.472924013332,1279.4144244239405,1637.2043862615324,1926.6098256122887,2341.418192357856,2668.8431959808704,2859.8559006811256,2965.948891357905,3081.552340466643,0.5323731596027291,0.21261837039186637,0.06707963363845497,0.3188949272098566,2018-02-27,Farm1,"{""type"":""Polygon"",""coordinates"":[[[72.750877,21.237588999999996],[72.750958,21.237044],[72.752218,21.237244],[72.752108,21.237798999999995],[72.750877,21.237588999999996]]]}"
20180227T053801_20180227T055222_T42QZJ_1,2634.8656312339695,2242.5113992590486,1339.5866343687655,1670.5557138785975,1966.0825021373614,2226.250071245369,2452.75942813717,2600.4757290776097,2605.93863398879,2749.8865298755586,0.3671798686209126,0.13898157724708318,-0.006281852596916153,0.20844969694111382,2018-02-27,Farm2,"{""type"":""Polygon"",""coordinates"":[[[72.750958,21.237044],[72.75104,21.236495999999995],[72.75231200000002,21.236687],[72.752218,21.237244],[72.750958,21.237044]]]}"
20180227T053801_20180227T055222_T42QZJ_2,2748.0229357798166,2132.2372214941024,1282.9357798165138,1601.6684141546527,1682.665792922674,2166.652031454784,3153.973132372215,3455.899082568807,3539.13499344692,3657.7994757536035,1.1624826578558773,0.35541373951489397,0.1267748239041754,0.5330695525747222,2018-02-27,Farm3,"{""type"":""Polygon"",""coordinates"":[[[72.73234100000002,21.227198],[72.732392,21.226953],[72.732652,21.22712],[72.732508,21.227258],[72.73234100000002,21.227198]]]}"
20180227T053801_20180227T055222_T42QZJ_3,1614.1263309352516,1430.339856115108,1417.6463309352519,1767.8238848920864,1974.3864748201438,2271.710791366907,2269.9804316546765,2409.29381294964,2332.3769784172664,2364.1936690647485,0.25417434179224346,0.08248420237806449,0.18175788136417073,0.12371203832068192,2018-02-27,Farm4,"{""type"":""Polygon"",""coordinates"":[[[72.731663,21.227759999999996],[72.731744,21.227447],[72.732082,21.227509],[72.731988,21.227866],[72.731663,21.227759999999996]]]}"
20180227T053801_20180227T055222_T43QBD_0,2595.348680706851,2117.835971919632,1274.430743161462,1628.4359719196323,1911.4690873880413,2331.6503025901716,2665.8355846042127,2856.966206729605,2957.669426289034,3077.352747518761,0.5429398048334261,0.21504062522858192,0.06524730855892112,0.3225277803137502,2018-02-27,Farm1,"{""type"":""Polygon"",""coordinates"":[[[72.750877,21.237588999999996],[72.750958,21.237044],[72.752218,21.237244],[72.752108,21.237798999999995],[72.750877,21.237588999999996]]]}"
20180227T053801_20180227T055222_T43QBD_1,2626.208605016421,2235.5043072676217,1336.543334443863,1663.70353624292,1955.1725286754563,2217.7467992956076,2447.318309456951,2594.288087192423,2601.680453095998,2744.149635905002,0.3753745605278332,0.14090853138197657,-0.005328539062203506,0.21133973358727426,2018-02-27,Farm2,"{""type"":""Polygon"",""coordinates"":[[[72.750958,21.237044],[72.75104,21.236495999999995],[72.75231200000002,21.236687],[72.752218,21.237244],[72.750958,21.237044]]]}"
20180227T053801_20180227T055222_T43QBD_2,2771.56767411301,2158.0624178712224,1289.7522996057821,1602.7864651773984,1684.660972404731,2149.4901445466494,3135.2897503285153,3437.9375821287776,3535.1182654402105,3667.9540078843634,1.1728064639419982,0.3543509981668287,0.12116405807086869,0.5314755827676566,2018-02-27,Farm3,"{""type"":""Polygon"",""coordinates"":[[[72.73234100000002,21.227198],[72.732392,21.226953],[72.732652,21.22712],[72.732508,21.227258],[72.73234100000002,21.227198]]]}"
20180227T053801_20180227T055222_T43QBD_3,1637.3795389048996,1448.5884726224785,1419.4674351585015,1765.091354466859,1969.519308357349,2264.5749279538904,2287.5795389048994,2430.2195965417873,2332.838616714698,2383.9095100864556,0.26140752655629174,0.08400875036707506,0.17621166226415935,0.1259985520257665,2018-02-27,Farm4,"{""type"":""Polygon"",""coordinates"":[[[72.731663,21.227759999999996],[72.731744,21.227447],[72.732082,21.227509],[72.731988,21.227866],[72.731663,21.227759999999996]]]}"
20180304T053719_20180304T054210_T42QZJ_0,2798.6803052992605,2289.1706680836674,1456.5617119945894,1721.1652577170184,2140.058113134631,2453.5268344524407,2666.1889280711066,2879.0837157625233,3006.0921694604126,3093.321771895077,0.4430782462354585,0.168296955771564,0.035869550089863006,0.25242089464053397,2018-03-04,Farm1,"{""type"":""Polygon"",""coordinates"":[[[72.750877,21.237588999999996],[72.750958,21.237044],[72.752218,21.237244],[72.752108,21.237798999999995],[72.750877,21.237588999999996]]]}"
20180304T053719_20180304T054210_T42QZJ_1,2728.7681200721945,2347.445378550393,1476.5158639688418,1718.4070485418445,2022.621639593426,2272.7956682815616,2460.805595136316,2632.400303980241,2649.2538235014717,2763.9201576897494,0.4206659934852323,0.1331505805672555,-0.015598282581237733,0.19970461840286982,2018-03-04,Farm2,"{""type"":""Polygon"",""coordinates"":[[[72.750958,21.237044],[72.75104,21.236495999999995],[72.75231200000002,21.236687],[72.752218,21.237244],[72.750958,21.237044]]]}"
20180304T053719_20180304T054210_T42QZJ_2,2644.216906946265,2015.6697247706418,1306.6703800786368,1599.0275229357796,1583.6697247706422,2105.9790301441676,3247.112057667104,3624.0458715596333,3718.344692005243,3773.2804718217562,1.5747296208273271,0.4021990673932275,0.16973177002933754,0.6032417050849562,2018-03-04,Farm3,"{""type"":""Polygon"",""coordinates"":[[[72.73234100000002,21.227198],[72.732392,21.226953],[72.732652,21.22712],[72.732508,21.227258],[72.73234100000002,21.227198]]]}"
20180304T053719_20180304T054210_T42QZJ_3,1492.094964028777,1344.314820143885,1577.7709352517984,1798.1271942446044,1882.9012949640287,2154.0414388489216,2106.1280575539568,2219.8437410071947,2104.518848920863,2120.45035971223,0.3290584862730734,0.05428131957912255,0.16961901916563932,0.08141199531525148,2018-03-04,Farm4,"{""type"":""Polygon"",""coordinates"":[[[72.731663,21.227759999999996],[72.731744,21.227447],[72.732082,21.227509],[72.731988,21.227866],[72.731663,21.227759999999996]]]}"
20180304T053719_20180304T054210_T43QBD_0,2809.621786492374,2295.976857903655,1404.4402808036793,1687.4987170176707,2135.133042846768,2458.6775599128546,2666.2218833212296,2880.6620672960535,3009.336431856693,3103.6491406439127,0.4165223078216993,0.16994866559619737,0.034280591918063874,0.25489820696678445,2018-03-04,Farm1,"{""type"":""Polygon"",""coordinates"":[[[72.750877,21.237588999999996],[72.750958,21.237044],[72.752218,21.237244],[72.752108,21.237798999999995],[72.750877,21.237588999999996]]]}"
20180304T053719_20180304T054210_T43QBD_1,2727.6082528199518,2343.283137404217,1425.575412878968,1683.9505973061725,2009.8859169006712,2269.0312693351098,2450.2472990338388,2625.131740516872,2634.539050973299,2755.624054066918,0.38871057102440637,0.13343191861233872,-0.018117286020308387,0.20012646141893753,2018-03-04,Farm2,"{""type"":""Polygon"",""coordinates"":[[[72.750958,21.237044],[72.75104,21.236495999999995],[72.75231200000002,21.236687],[72.752218,21.237244],[72.750958,21.237044]]]}"
20180304T053719_20180304T054210_T43QBD_2,2676.599211563732,2032.5420499342974,1244.8501971090668,1556.947437582129,1552.3725361366623,2095.154402102497,3260.0545335085417,3636.741130091985,3740.6530880420505,3799.3856767411307,1.4823295026137047,0.4131350091197465,0.16583300711295879,0.6196439636245855,2018-03-04,Farm3,"{""type"":""Polygon"",""coordinates"":[[[72.73234100000002,21.227198],[72.732392,21.226953],[72.732652,21.22712],[72.732508,21.227258],[72.73234100000002,21.227198]]]}"
20180304T053719_20180304T054210_T43QBD_3,1505.9625360230543,1356.1000000000004,1531.8383285302598,1766.4115273775217,1865.157925072046,2155.477233429395,2103.4547550432276,2226.108069164265,2066.7902017291067,2127.7861671469745,0.25013399978124606,0.049893445668572345,0.15665004286820963,0.07483089945304328,2018-03-04,Farm4,"{""type"":""Polygon"",""coordinates"":[[[72.731663,21.227759999999996],[72.731744,21.227447],[72.732082,21.227509],[72.731988,21.227866],[72.731663,21.227759999999996]]]}"
